filename,CU:,SR:,CS:,species,master_tape
90033001,20:40.020-26:2.973,160000,5:22.953,Sperm Whale,90033
90033002,20:40.020-26:2.973,40000,5:22.953,Sperm Whale,90033
90033003,20:40.020-26:2.973,40000,5:22.953,Sperm Whale,90033
90033004,20:40.020-26:2.973,40000,5:22.953,Sperm Whale,90033
90033005,20:40.020-26:2.973,40000,5:22.953,Sperm Whale,90033
60012001,0  B5:11.905  0:34.126,40000,2.918,Killer Whale,60012
60012002,0  B5:11.905  0:36.816,40000,2.588,Killer Whale,60012
60012003,0  B5:11.905  0:42.550,40000,2.055,Killer Whale,60012
60012004,0  B5:11.905  0:44.606,40000,2.410,Killer Whale,60012
60012005,0  B5:11.905  0:46.636,40000,3.425,Killer Whale,60012
60012006,0  B5:11.905  0:51.381,40000,3.248,Killer Whale,60012
60012007,0  B5:11.905  0:59.196,40000,2.106,Killer Whale,60012
60012008,0  B5:11.905  1:01.125,40000,3.425,Killer Whale,60012
60012009,0  B5:11.905  1:10.590,40000,6.546,Killer Whale,60012
6001200A,0  B5:11.905  1:26.094,40000,4.136,Killer Whale,60012
6001200B,0  B5:11.905  1:32.970,40000,2.207,Killer Whale,60012
6001200C,0  B5:11.905  1:42.867,40000,2.918,Killer Whale,60012
6001200D,0  B5:11.905  1:45.988,40000,2.943,Killer Whale,60012
6001200E,0  B5:11.905  2:04.029,40000,2.994,Killer Whale,60012
6001200F,0  B5:11.905  2:06.415,40000,2.461,Killer Whale,60012
6001200G,0  B5:11.905  2:15.880,40000,3.933,Killer Whale,60012
6001200H,0  B5:11.905  2:19.635,40000,1.801,Killer Whale,60012
6001200I,0  B5:11.905  2:21.183,40000,2.918,Killer Whale,60012
6001200J,0  B5:11.905  2:34.556,40000,3.628,Killer Whale,60012
6001200K,0  B5:11.905  2:39.428,40000,1.598,Killer Whale,60012
6001200L,0  B5:11.905  2:40.849,40000,1.624,Killer Whale,60012
6001200M,0  B5:11.905  2:42.777,40000,1.750,Killer Whale,60012
6001200N,0  B5:11.905  2:53.561,40000,2.258,Killer Whale,60012
6001200O,0  B5:11.905  3:04.498,40000,2.639,Killer Whale,60012
6001200P,0  B5:11.905  3:07.112,40000,3.324,Killer Whale,60012
6001200Q,0  B5:11.905  3:35.252,40000,2.283,Killer Whale,60012
6001200R,0  B5:11.905  3:39.718,40000,2.309,Killer Whale,60012
6001200S,0  B5:11.905  3:44.311,40000,1.827,Killer Whale,60012
6001200T,0  B5:11.905  3:51.989,40000,2.298,Killer Whale,60012
6001200U,0  B5:11.905  3:54.009,40000,2.206,Killer Whale,60012
6001200V,0  B5:11.905  4:00.714,40000,2.904,Killer Whale,60012
6001200W,0  B5:11.905  4:05.202,40000,2.983,Killer Whale,60012
