filename,CU:,SR:,CS:,species
61025001,58  B0:23.700  11.570,43900,1.891,Atlantic Spotted Dolphin
61025002,58  B0:23.700  14.990,43900,1.891,Atlantic Spotted Dolphin
61025003,58  B0:23.700  16.890,43900,1.891,Atlantic Spotted Dolphin
61025004,58  B0:23.700  21.520,43900,0.9453,Atlantic Spotted Dolphin
61025005,78  B0:23.700  2.884,43900,0.9453,Atlantic Spotted Dolphin
61025006,78  B0:23.700  5.328,43900,0.9453,Atlantic Spotted Dolphin
61025007,78  B0:23.700  7.709,43900,0.9453,Atlantic Spotted Dolphin
61025008,129  B0:23.700  14.590,43900,1.891,Atlantic Spotted Dolphin
61025009,149  B0:23.700  20.350,43900,1.891,Atlantic Spotted Dolphin
6102500A,149  B0:23.700  14.740,43900,1.891,Atlantic Spotted Dolphin
6102500B,25.582-26.804,60600,1.222,Atlantic Spotted Dolphin
6102500C,1:13.226-1:14.747,60600,1.520,Atlantic Spotted Dolphin
6102500D,3:22.788-3:24.021,60600,1.232,Atlantic Spotted Dolphin
6102500E,3:24.277-3:25.394,60600,1.116,Atlantic Spotted Dolphin
6102500F,3:27.429-3:28.596,60600,1.166,Atlantic Spotted Dolphin
6102500G,4:2.136-4:3.593,60600,1.457,Atlantic Spotted Dolphin
6102500H,7:30.344-7:31.441,60600,1.096,Atlantic Spotted Dolphin
6102500I,11:30.566-11:32.360,60600,1.791,Atlantic Spotted Dolphin
6102500J,11:32.291-11:33.753,60600,1.462,Atlantic Spotted Dolphin
6102500K,12:16.953-12:17.817,60600,.864,Atlantic Spotted Dolphin
6102500L,12:19.894-12:20.459,60600,.564,Atlantic Spotted Dolphin
6102500M,10.076-11.057,60600,.982,Atlantic Spotted Dolphin
6102500N,12:30.734-12:32.607,60600,1.872,Atlantic Spotted Dolphin
6102500O,13:44.800-13:46.130,60600,1.330,Atlantic Spotted Dolphin
6102500P,14:47.537-14:48.890,60600,1.352,Atlantic Spotted Dolphin
6102500Q,16:7.974-16:9.425,60600,1.451,Atlantic Spotted Dolphin
6102500R,1211:34.911-12:33.534,60600,58.623,Atlantic Spotted Dolphin
6102500S,21.021-1:04.137,192000,43.116,Atlantic Spotted Dolphin
6102500T,24.374-25.467,192000,1.093,Atlantic Spotted Dolphin
6102500U,26.160-27.472,192000,1.312,Atlantic Spotted Dolphin
6102500V,26.816-29.841,192000,3.025,Atlantic Spotted Dolphin
6102500W,30.788-32.829,192000,2.041,Atlantic Spotted Dolphin
6102500X,40.483-45.403,192000,4.920,Atlantic Spotted Dolphin
6102500Y,47.080-48.647,192000,1.567,Atlantic Spotted Dolphin
6102500Z,51.709-55.681,192000,3.972,Atlantic Spotted Dolphin
61025010,10:14.224-10:18.306,192000,4.082,Atlantic Spotted Dolphin
61025011,10:36.056-10:40.028,192000,3.972,Atlantic Spotted Dolphin
61025012,11:08.675-11:11.117,192000,2.441,Atlantic Spotted Dolphin
61025013,11:12.648-11:17.022,192000,4.373,Atlantic Spotted Dolphin
6102501A,12:54.543-12:58.199,192000,3.656,Atlantic Spotted Dolphin
6102501B,13:00.465-13:01.518,192000,1.053,Atlantic Spotted Dolphin
6102501D,13:21.886-13:24.628,192000,2.742,Atlantic Spotted Dolphin
6102501E,13:28.046-13:29.119,192000,1.073,Atlantic Spotted Dolphin
6102501F,13:31.126-13:32.200,192000,1.073,Atlantic Spotted Dolphin
6102501G,13:56.542-14:11.704,192000,15.161,Atlantic Spotted Dolphin
6102501I,13:59.145-14:00.099,192000,0.953,Atlantic Spotted Dolphin
6102501J,14:00.497-14:03.239,192000,2.742,Atlantic Spotted Dolphin
6102501K,14:07.511-14:08.723,192000,1.212,Atlantic Spotted Dolphin
6102501L,14:15.420-14:17.348,192000,1.927,Atlantic Spotted Dolphin
6102501M,14:18.818-14:19.891,192000,1.073,Atlantic Spotted Dolphin
6102501N,14:23.230-14:25.038,192000,1.808,Atlantic Spotted Dolphin
6102501O,14:30.006-14:40.021,192000,10.015,Atlantic Spotted Dolphin
6102501P,15:54.738-15:57.639,192000,2.901,Atlantic Spotted Dolphin
6102501Q,16:04.872-16:06.129,192000,1.251,Atlantic Spotted Dolphin
61026001,0  B16:26.2  0:31.047,80000,1.921,Atlantic Spotted Dolphin
61026002,0  B16:26.2  0:32.972,80000,1.797,Atlantic Spotted Dolphin
61026003,0  B16:26.2  0:42.212,80000,1.505,Atlantic Spotted Dolphin
61026004,0  B16:26.2  0:45.612,80000,1.612,Atlantic Spotted Dolphin
61026005,0  B16:26.2  0:49.843,80000,1.347,Atlantic Spotted Dolphin
61026006,0  B16:26.2  0:53.786,80000,1.643,Atlantic Spotted Dolphin
61026007,0  B16:26.2  0:55.309,80000,1.467,Atlantic Spotted Dolphin
61026008,0  B16:26.2  1:04.402,80000,2.646,Atlantic Spotted Dolphin
61026009,0  B16:26.2  1:07.038,80000,0.983,Atlantic Spotted Dolphin
6102600A,0  B16:26.2  1:11.842,80000,1.639,Atlantic Spotted Dolphin
6102600B,0  B16:26.2  1:16.087,80000,1.187,Atlantic Spotted Dolphin
6102600C,0  B16:26.2  1:25.589,80000,1.801,Atlantic Spotted Dolphin
6102600D,0  B16:26.2  1:27.163,80000,1.803,Atlantic Spotted Dolphin
6102600E,0  B16:26.2  1:30.805,80000,1.617,Atlantic Spotted Dolphin
6102600F,0  B16:26.2  1:37.487,80000,1.665,Atlantic Spotted Dolphin
6102600G,0  B16:26.2  1:39.109,80000,1.682,Atlantic Spotted Dolphin
6102600H,0  B16:26.2  1:41.314,80000,1.557,Atlantic Spotted Dolphin
6102600I,0  B16:26.2  1:42.793,80000,1.989,Atlantic Spotted Dolphin
6102600J,0  B16:26.2  1:44.735,80000,1.232,Atlantic Spotted Dolphin
6102600K,0  B16:26.2  1:47.201,80000,1.444,Atlantic Spotted Dolphin
6102600L,0  B16:26.2  1:48.598,80000,1.431,Atlantic Spotted Dolphin
6102600M,0  B16:26.2  1:49.947,80000,1.647,Atlantic Spotted Dolphin
6102600N,0  B16:26.2  1:51.716,80000,1.825,Atlantic Spotted Dolphin
6102600O,0  B16:26.2  1:53.428,80000,1.600,Atlantic Spotted Dolphin
6102600P,0  B16:26.2  1:54.856,80000,1.565,Atlantic Spotted Dolphin
